"District","Party","Percentage","validVotesPercentage","Votes","Council","District"
"Cedrim e Paradela","CH",1.12,1.17,9,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","A",0.5,0.52,4,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","IL",0.5,0.52,4,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","PCTP/MRPP",0.5,0.52,4,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","MPT",0.37,0.39,3,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","PDR",0.37,0.39,3,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","L",0.25,0.26,2,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","NC",0.25,0.26,2,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","PURP",0.25,0.26,2,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","PNR",0.12,0.13,1,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","PPM",0.12,0.13,1,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","PTP",0.12,0.13,1,"Sever do Vouga","Aveiro"
"Cedrim e Paradela","JPP",0,0,0,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PPD/PSD",34.52,36.88,406,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PS",29.42,31.43,346,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","CDS-PP",15.14,16.17,178,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","B.E.",5.95,6.36,70,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PCP-PEV",1.87,2,22,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PAN",1.79,1.91,21,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","A",1.02,1.09,12,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","R.I.R.",0.77,0.82,9,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","IL",0.6,0.64,7,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","CH",0.51,0.54,6,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PCTP/MRPP",0.43,0.45,5,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PURP",0.43,0.45,5,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","L",0.26,0.27,3,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PTP",0.26,0.27,3,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PDR",0.17,0.18,2,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PPM",0.17,0.18,2,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","JPP",0.09,0.09,1,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","MPT",0.09,0.09,1,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","NC",0.09,0.09,1,"Sever do Vouga","Aveiro"
"Silva Escura e Dornelas","PNR",0.09,0.09,1,"Sever do Vouga","Aveiro"
"Calvão","PPD/PSD",58.97,61.63,628,"Vagos","Aveiro"
"Calvão","CDS-PP",13.9,14.52,148,"Vagos","Aveiro"
"Calvão","PS",11.17,11.68,119,"Vagos","Aveiro"
"Calvão","B.E.",4.41,4.61,47,"Vagos","Aveiro"
"Calvão","PAN",1.97,2.06,21,"Vagos","Aveiro"
"Calvão","CH",1.03,1.08,11,"Vagos","Aveiro"
"Calvão","IL",0.94,0.98,10,"Vagos","Aveiro"
"Calvão","PCP-PEV",0.66,0.69,7,"Vagos","Aveiro"
"Calvão","A",0.56,0.59,6,"Vagos","Aveiro"
"Calvão","L",0.38,0.39,4,"Vagos","Aveiro"
"Calvão","R.I.R.",0.38,0.39,4,"Vagos","Aveiro"
"Calvão","NC",0.28,0.29,3,"Vagos","Aveiro"
"Calvão","PCTP/MRPP",0.28,0.29,3,"Vagos","Aveiro"
"Calvão","PDR",0.28,0.29,3,"Vagos","Aveiro"
"Calvão","PTP",0.28,0.29,3,"Vagos","Aveiro"
"Calvão","MPT",0.09,0.1,1,"Vagos","Aveiro"
"Calvão","PNR",0.09,0.1,1,"Vagos","Aveiro"
"Calvão","JPP",0,0,0,"Vagos","Aveiro"
"Calvão","PPM",0,0,0,"Vagos","Aveiro"
"Calvão","PURP",0,0,0,"Vagos","Aveiro"
"Gafanha da Boa Hora","PPD/PSD",50.61,53.07,536,"Vagos","Aveiro"
"Gafanha da Boa Hora","PS",19.07,20,202,"Vagos","Aveiro"
"Gafanha da Boa Hora","CDS-PP",7.37,7.72,78,"Vagos","Aveiro"
"Gafanha da Boa Hora","B.E.",7.27,7.62,77,"Vagos","Aveiro"
"Gafanha da Boa Hora","PAN",3.59,3.76,38,"Vagos","Aveiro"
"Gafanha da Boa Hora","PCP-PEV",2.46,2.57,26,"Vagos","Aveiro"
"Gafanha da Boa Hora","IL",0.94,0.99,10,"Vagos","Aveiro"
"Gafanha da Boa Hora","L",0.94,0.99,10,"Vagos","Aveiro"
"Gafanha da Boa Hora","A",0.85,0.89,9,"Vagos","Aveiro"
"Gafanha da Boa Hora","CH",0.76,0.79,8,"Vagos","Aveiro"
"Gafanha da Boa Hora","R.I.R.",0.38,0.4,4,"Vagos","Aveiro"
"Gafanha da Boa Hora","MPT",0.28,0.3,3,"Vagos","Aveiro"
"Gafanha da Boa Hora","NC",0.19,0.2,2,"Vagos","Aveiro"
"Gafanha da Boa Hora","PCTP/MRPP",0.19,0.2,2,"Vagos","Aveiro"
"Gafanha da Boa Hora","PDR",0.19,0.2,2,"Vagos","Aveiro"
"Gafanha da Boa Hora","PTP",0.19,0.2,2,"Vagos","Aveiro"
"Gafanha da Boa Hora","PURP",0.09,0.1,1,"Vagos","Aveiro"
"Gafanha da Boa Hora","JPP",0,0,0,"Vagos","Aveiro"
"Gafanha da Boa Hora","PNR",0,0,0,"Vagos","Aveiro"
"Gafanha da Boa Hora","PPM",0,0,0,"Vagos","Aveiro"
"Ouca","PPD/PSD",52.18,54.57,442,"Vagos","Aveiro"
"Ouca","CDS-PP",18.89,19.75,160,"Vagos","Aveiro"
"Ouca","PS",13.81,14.44,117,"Vagos","Aveiro"
"Ouca","B.E.",4.37,4.57,37,"Vagos","Aveiro"
"Ouca","PAN",1.77,1.85,15,"Vagos","Aveiro"
"Ouca","CH",1.18,1.23,10,"Vagos","Aveiro"
"Ouca","PCP-PEV",0.94,0.99,8,"Vagos","Aveiro"
"Ouca","A",0.71,0.74,6,"Vagos","Aveiro"
"Ouca","IL",0.47,0.49,4,"Vagos","Aveiro"
"Ouca","L",0.47,0.49,4,"Vagos","Aveiro"
"Ouca","PNR",0.24,0.25,2,"Vagos","Aveiro"
"Ouca","R.I.R.",0.24,0.25,2,"Vagos","Aveiro"
"Ouca","NC",0.12,0.12,1,"Vagos","Aveiro"
"Ouca","PCTP/MRPP",0.12,0.12,1,"Vagos","Aveiro"
"Ouca","PDR",0.12,0.12,1,"Vagos","Aveiro"
"Ouca","JPP",0,0,0,"Vagos","Aveiro"
"Ouca","MPT",0,0,0,"Vagos","Aveiro"
"Ouca","PPM",0,0,0,"Vagos","Aveiro"
"Ouca","PTP",0,0,0,"Vagos","Aveiro"
"Ouca","PURP",0,0,0,"Vagos","Aveiro"
"Sosa","PPD/PSD",46.23,48.73,594,"Vagos","Aveiro"
"Sosa","PS",22.49,23.71,289,"Vagos","Aveiro"
"Sosa","CDS-PP",10.51,11.07,135,"Vagos","Aveiro"
"Sosa","B.E.",6.77,7.14,87,"Vagos","Aveiro"
"Sosa","PAN",1.95,2.05,25,"Vagos","Aveiro"
"Sosa","PCP-PEV",1.4,1.48,18,"Vagos","Aveiro"
"Sosa","A",0.86,0.9,11,"Vagos","Aveiro"
"Sosa","CH",0.86,0.9,11,"Vagos","Aveiro"
"Sosa","IL",0.78,0.82,10,"Vagos","Aveiro"
"Sosa","PCTP/MRPP",0.7,0.74,9,"Vagos","Aveiro"
"Sosa","L",0.54,0.57,7,"Vagos","Aveiro"
"Sosa","R.I.R.",0.54,0.57,7,"Vagos","Aveiro"
"Sosa","MPT",0.47,0.49,6,"Vagos","Aveiro"
"Sosa","PDR",0.23,0.25,3,"Vagos","Aveiro"
"Sosa","PNR",0.23,0.25,3,"Vagos","Aveiro"
"Sosa","JPP",0.08,0.08,1,"Vagos","Aveiro"
"Sosa","NC",0.08,0.08,1,"Vagos","Aveiro"
"Sosa","PPM",0.08,0.08,1,"Vagos","Aveiro"
"Sosa","PTP",0.08,0.08,1,"Vagos","Aveiro"
"Sosa","PURP",0,0,0,"Vagos","Aveiro"
"Santo André de Vagos","PPD/PSD",57.53,60.61,554,"Vagos","Aveiro"
"Santo André de Vagos","CDS-PP",12.77,13.46,123,"Vagos","Aveiro"
"Santo André de Vagos","PS",12.77,13.46,123,"Vagos","Aveiro"
"Santo André de Vagos","B.E.",4.05,4.27,39,"Vagos","Aveiro"
"Santo André de Vagos","PAN",2.18,2.3,21,"Vagos","Aveiro"
"Santo André de Vagos","CH",0.83,0.88,8,"Vagos","Aveiro"
"Santo André de Vagos","IL",0.83,0.88,8,"Vagos","Aveiro"
"Santo André de Vagos","PCP-PEV",0.73,0.77,7,"Vagos","Aveiro"
"Santo André de Vagos","R.I.R.",0.62,0.66,6,"Vagos","Aveiro"
"Santo André de Vagos","A",0.42,0.44,4,"Vagos","Aveiro"
"Santo André de Vagos","PDR",0.42,0.44,4,"Vagos","Aveiro"
"Santo André de Vagos","JPP",0.31,0.33,3,"Vagos","Aveiro"
"Santo André de Vagos","L",0.31,0.33,3,"Vagos","Aveiro"
"Santo André de Vagos","MPT",0.31,0.33,3,"Vagos","Aveiro"
"Santo André de Vagos","PCTP/MRPP",0.21,0.22,2,"Vagos","Aveiro"
"Santo André de Vagos","PNR",0.21,0.22,2,"Vagos","Aveiro"
"Santo André de Vagos","PPM",0.21,0.22,2,"Vagos","Aveiro"
"Santo André de Vagos","NC",0.1,0.11,1,"Vagos","Aveiro"
"Santo André de Vagos","PTP",0.1,0.11,1,"Vagos","Aveiro"
"Santo André de Vagos","PURP",0,0,0,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PPD/PSD",64.95,68.86,732,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PS",10.2,10.82,115,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","CDS-PP",9.85,10.44,111,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","B.E.",3.82,4.05,43,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PAN",1.15,1.22,13,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","R.I.R.",0.71,0.75,8,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","CH",0.62,0.66,7,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","A",0.53,0.56,6,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","IL",0.53,0.56,6,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PCP-PEV",0.53,0.56,6,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","L",0.44,0.47,5,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","NC",0.35,0.38,4,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","JPP",0.18,0.19,2,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PCTP/MRPP",0.18,0.19,2,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","MPT",0.09,0.09,1,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PDR",0.09,0.09,1,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PNR",0.09,0.09,1,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PPM",0,0,0,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PTP",0,0,0,"Vagos","Aveiro"
"Fonte de Angeão e Covão do Lobo","PURP",0,0,0,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PPD/PSD",57.24,60.3,814,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PS",13.22,13.93,188,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","CDS-PP",13.15,13.85,187,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","B.E.",4.43,4.67,63,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PAN",1.55,1.63,22,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","A",1.2,1.26,17,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","R.I.R.",0.77,0.81,11,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","IL",0.7,0.74,10,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PCP-PEV",0.7,0.74,10,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","CH",0.49,0.52,7,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","L",0.42,0.44,6,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","MPT",0.28,0.3,4,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PCTP/MRPP",0.21,0.22,3,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PDR",0.14,0.15,2,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PNR",0.14,0.15,2,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PTP",0.14,0.15,2,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","JPP",0.07,0.07,1,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PURP",0.07,0.07,1,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","NC",0,0,0,"Vagos","Aveiro"
"Ponte de Vagos e Santa Catarina","PPM",0,0,0,"Vagos","Aveiro"
"Vagos e Santo António","PPD/PSD",44.6,46.78,1407,"Vagos","Aveiro"
"Vagos e Santo António","PS",22.28,23.37,703,"Vagos","Aveiro"
"Vagos e Santo António","CDS-PP",9.22,9.67,291,"Vagos","Aveiro"
"Vagos e Santo António","B.E.",8.81,9.24,278,"Vagos","Aveiro"
"Vagos e Santo António","PAN",3.45,3.62,109,"Vagos","Aveiro"
"Vagos e Santo António","PCP-PEV",1.84,1.93,58,"Vagos","Aveiro"
"Vagos e Santo António","A",0.89,0.93,28,"Vagos","Aveiro"
"Vagos e Santo António","CH",0.82,0.86,26,"Vagos","Aveiro"
"Vagos e Santo António","IL",0.73,0.76,23,"Vagos","Aveiro"
"Vagos e Santo António","R.I.R.",0.7,0.73,22,"Vagos","Aveiro"
"Vagos e Santo António","L",0.51,0.53,16,"Vagos","Aveiro"
"Vagos e Santo António","PTP",0.22,0.23,7,"Vagos","Aveiro"
"Vagos e Santo António","MPT",0.19,0.2,6,"Vagos","Aveiro"
"Vagos e Santo António","PCTP/MRPP",0.19,0.2,6,"Vagos","Aveiro"
"Vagos e Santo António","PDR",0.19,0.2,6,"Vagos","Aveiro"
"Vagos e Santo António","PNR",0.19,0.2,6,"Vagos","Aveiro"
"Vagos e Santo António","PPM",0.19,0.2,6,"Vagos","Aveiro"
"Vagos e Santo António","NC",0.16,0.17,5,"Vagos","Aveiro"
"Vagos e Santo António","PURP",0.16,0.17,5,"Vagos","Aveiro"
"Vagos e Santo António","JPP",0,0,0,"Vagos","Aveiro"
"Arões","PPD/PSD",35.71,37.75,265,"Vale de Cambra","Aveiro"
"Arões","PS",25.07,26.5,186,"Vale de Cambra","Aveiro"
"Arões","CDS-PP",24.66,26.07,183,"Vale de Cambra","Aveiro"
"Arões","B.E.",4.58,4.84,34,"Vale de Cambra","Aveiro"
"Arões","PCP-PEV",1.35,1.42,10,"Vale de Cambra","Aveiro"
"Arões","R.I.R.",0.81,0.85,6,"Vale de Cambra","Aveiro"
"Arões","CH",0.4,0.43,3,"Vale de Cambra","Aveiro"
"Arões","PAN",0.4,0.43,3,"Vale de Cambra","Aveiro"
"Arões","A",0.27,0.28,2,"Vale de Cambra","Aveiro"
"Arões","JPP",0.27,0.28,2,"Vale de Cambra","Aveiro"
"Arões","NC",0.27,0.28,2,"Vale de Cambra","Aveiro"
"Arões","PCTP/MRPP",0.27,0.28,2,"Vale de Cambra","Aveiro"
"Arões","L",0.13,0.14,1,"Vale de Cambra","Aveiro"
"Arões","PDR",0.13,0.14,1,"Vale de Cambra","Aveiro"
"Arões","PNR",0.13,0.14,1,"Vale de Cambra","Aveiro"
"Arões","PURP",0.13,0.14,1,"Vale de Cambra","Aveiro"
"Arões","IL",0,0,0,"Vale de Cambra","Aveiro"
"Arões","MPT",0,0,0,"Vale de Cambra","Aveiro"
"Arões","PPM",0,0,0,"Vale de Cambra","Aveiro"
"Arões","PTP",0,0,0,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PPD/PSD",29.59,31.41,1155,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PS",27.93,29.64,1090,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","CDS-PP",16.04,17.02,626,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","B.E.",9.86,10.47,385,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PAN",2.82,2.99,110,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PCP-PEV",1.9,2.01,74,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","L",0.97,1.03,38,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","R.I.R.",0.97,1.03,38,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","IL",0.92,0.98,36,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","A",0.77,0.82,30,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","CH",0.61,0.65,24,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PDR",0.54,0.57,21,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PCTP/MRPP",0.49,0.52,19,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","MPT",0.26,0.27,10,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PTP",0.15,0.16,6,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","NC",0.13,0.14,5,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PURP",0.1,0.11,4,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PNR",0.08,0.08,3,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","PPM",0.05,0.05,2,"Vale de Cambra","Aveiro"
"São Pedro de Castelões","JPP",0.03,0.03,1,"Vale de Cambra","Aveiro"
"Cepelos","PPD/PSD",38.23,40.31,289,"Vale de Cambra","Aveiro"
"Cepelos","PS",23.81,25.1,180,"Vale de Cambra","Aveiro"
"Cepelos","CDS-PP",13.1,13.81,99,"Vale de Cambra","Aveiro"
"Cepelos","B.E.",9.26,9.76,70,"Vale de Cambra","Aveiro"
"Cepelos","PCP-PEV",1.85,1.95,14,"Vale de Cambra","Aveiro"
"Cepelos","R.I.R.",1.72,1.81,13,"Vale de Cambra","Aveiro"
"Cepelos","PAN",1.59,1.67,12,"Vale de Cambra","Aveiro"
"Cepelos","CH",1.46,1.53,11,"Vale de Cambra","Aveiro"
"Cepelos","IL",0.66,0.7,5,"Vale de Cambra","Aveiro"
"Cepelos","L",0.66,0.7,5,"Vale de Cambra","Aveiro"
"Cepelos","PTP",0.66,0.7,5,"Vale de Cambra","Aveiro"
"Cepelos","A",0.53,0.56,4,"Vale de Cambra","Aveiro"
"Cepelos","PCTP/MRPP",0.4,0.42,3,"Vale de Cambra","Aveiro"
"Cepelos","MPT",0.26,0.28,2,"Vale de Cambra","Aveiro"
"Cepelos","PURP",0.26,0.28,2,"Vale de Cambra","Aveiro"
"Cepelos","NC",0.13,0.14,1,"Vale de Cambra","Aveiro"
"Cepelos","PNR",0.13,0.14,1,"Vale de Cambra","Aveiro"
"Cepelos","PPM",0.13,0.14,1,"Vale de Cambra","Aveiro"
"Cepelos","JPP",0,0,0,"Vale de Cambra","Aveiro"
"Cepelos","PDR",0,0,0,"Vale de Cambra","Aveiro"
"Junqueira","PPD/PSD",35.95,38.5,206,"Vale de Cambra","Aveiro"
"Junqueira","CDS-PP",26.88,28.79,154,"Vale de Cambra","Aveiro"
"Junqueira","PS",19.9,21.31,114,"Vale de Cambra","Aveiro"
"Junqueira","B.E.",5.58,5.98,32,"Vale de Cambra","Aveiro"
"Junqueira","PCP-PEV",1.05,1.12,6,"Vale de Cambra","Aveiro"
"Junqueira","PAN",0.87,0.93,5,"Vale de Cambra","Aveiro"
"Junqueira","A",0.52,0.56,3,"Vale de Cambra","Aveiro"
"Junqueira","R.I.R.",0.52,0.56,3,"Vale de Cambra","Aveiro"
"Junqueira","PCTP/MRPP",0.35,0.37,2,"Vale de Cambra","Aveiro"
"Junqueira","PNR",0.35,0.37,2,"Vale de Cambra","Aveiro"
"Junqueira","CH",0.17,0.19,1,"Vale de Cambra","Aveiro"
"Junqueira","IL",0.17,0.19,1,"Vale de Cambra","Aveiro"
"Junqueira","L",0.17,0.19,1,"Vale de Cambra","Aveiro"
"Junqueira","MPT",0.17,0.19,1,"Vale de Cambra","Aveiro"
"Junqueira","NC",0.17,0.19,1,"Vale de Cambra","Aveiro"
"Junqueira","PDR",0.17,0.19,1,"Vale de Cambra","Aveiro"
"Junqueira","PPM",0.17,0.19,1,"Vale de Cambra","Aveiro"
"Junqueira","PTP",0.17,0.19,1,"Vale de Cambra","Aveiro"
"Junqueira","JPP",0,0,0,"Vale de Cambra","Aveiro"
"Junqueira","PURP",0,0,0,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PS",38.36,40.19,959,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PPD/PSD",25.04,26.24,626,"Vale de Cambra","Aveiro"
"Macieira de Cambra","CDS-PP",11.88,12.45,297,"Vale de Cambra","Aveiro"
"Macieira de Cambra","B.E.",9.48,9.93,237,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PAN",3.24,3.39,81,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PCP-PEV",2.28,2.39,57,"Vale de Cambra","Aveiro"
"Macieira de Cambra","R.I.R.",1.08,1.13,27,"Vale de Cambra","Aveiro"
"Macieira de Cambra","CH",0.92,0.96,23,"Vale de Cambra","Aveiro"
"Macieira de Cambra","L",0.72,0.75,18,"Vale de Cambra","Aveiro"
"Macieira de Cambra","IL",0.64,0.67,16,"Vale de Cambra","Aveiro"
"Macieira de Cambra","A",0.44,0.46,11,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PCTP/MRPP",0.4,0.42,10,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PURP",0.24,0.25,6,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PTP",0.2,0.21,5,"Vale de Cambra","Aveiro"
"Macieira de Cambra","MPT",0.16,0.17,4,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PPM",0.16,0.17,4,"Vale de Cambra","Aveiro"
"Macieira de Cambra","NC",0.08,0.08,2,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PNR",0.08,0.08,2,"Vale de Cambra","Aveiro"
"Macieira de Cambra","PDR",0.04,0.04,1,"Vale de Cambra","Aveiro"
"Macieira de Cambra","JPP",0,0,0,"Vale de Cambra","Aveiro"
"Roge","PS",39.01,40.46,369,"Vale de Cambra","Aveiro"
"Roge","PPD/PSD",27.59,28.62,261,"Vale de Cambra","Aveiro"
"Roge","CDS-PP",11.73,12.17,111,"Vale de Cambra","Aveiro"
"Roge","B.E.",9.73,10.09,92,"Vale de Cambra","Aveiro"
"Roge","PAN",2.11,2.19,20,"Vale de Cambra","Aveiro"
"Roge","PCP-PEV",1.69,1.75,16,"Vale de Cambra","Aveiro"
"Roge","R.I.R.",1.37,1.43,13,"Vale de Cambra","Aveiro"
"Roge","L",0.74,0.77,7,"Vale de Cambra","Aveiro"
"Roge","CH",0.63,0.66,6,"Vale de Cambra","Aveiro"
"Roge","PCTP/MRPP",0.53,0.55,5,"Vale de Cambra","Aveiro"
"Roge","MPT",0.32,0.33,3,"Vale de Cambra","Aveiro"
"Roge","PNR",0.32,0.33,3,"Vale de Cambra","Aveiro"
"Roge","PURP",0.21,0.22,2,"Vale de Cambra","Aveiro"
"Roge","IL",0.11,0.11,1,"Vale de Cambra","Aveiro"
"Roge","NC",0.11,0.11,1,"Vale de Cambra","Aveiro"
"Roge","PPM",0.11,0.11,1,"Vale de Cambra","Aveiro"
"Roge","PTP",0.11,0.11,1,"Vale de Cambra","Aveiro"
"Roge","A",0,0,0,"Vale de Cambra","Aveiro"
"Roge","JPP",0,0,0,"Vale de Cambra","Aveiro"
"Roge","PDR",0,0,0,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PS",32.5,34.39,987,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PPD/PSD",30,31.74,911,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","CDS-PP",11.43,12.09,347,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","B.E.",10.11,10.7,307,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PAN",2.6,2.75,79,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PCP-PEV",2.44,2.58,74,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","R.I.R.",1.22,1.29,37,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","IL",0.69,0.73,21,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","A",0.63,0.66,19,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","L",0.59,0.63,18,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PCTP/MRPP",0.46,0.49,14,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","CH",0.43,0.45,13,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PNR",0.3,0.31,9,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","MPT",0.26,0.28,8,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PTP",0.26,0.28,8,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PURP",0.23,0.24,7,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PPM",0.13,0.14,4,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","JPP",0.1,0.1,3,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","NC",0.07,0.07,2,"Vale de Cambra","Aveiro"
"Vila Chã, Codal e Vila Cova de Perrinho","PDR",0.07,0.07,2,"Vale de Cambra","Aveiro"
"Ervidel","PS",39.11,39.82,176,"Aljustrel","Beja"
"Ervidel","PCP-PEV",36.44,37.1,164,"Aljustrel","Beja"
"Ervidel","PPD/PSD",7.78,7.92,35,"Aljustrel","Beja"
"Ervidel","B.E.",7.11,7.24,32,"Aljustrel","Beja"
"Ervidel","PCTP/MRPP",2.22,2.26,10,"Aljustrel","Beja"
"Ervidel","CDS-PP",2,2.04,9,"Aljustrel","Beja"
"Ervidel","CH",2,2.04,9,"Aljustrel","Beja"
"Ervidel","PAN",0.89,0.9,4,"Aljustrel","Beja"
"Ervidel","A",0.22,0.23,1,"Aljustrel","Beja"
"Ervidel","L",0.22,0.23,1,"Aljustrel","Beja"
"Ervidel","PDR",0.22,0.23,1,"Aljustrel","Beja"
"Ervidel","IL",0,0,0,"Aljustrel","Beja"
"Ervidel","MPT",0,0,0,"Aljustrel","Beja"
"Ervidel","NC",0,0,0,"Aljustrel","Beja"
